Date,Time,SystemSetting,SystemMode,CalendarEvent,ProgramMode,CoolSetTemp,HeatSetTemp,CurrentTemp,CurrentHumidity,OutdoorTemp,WindSpeed,CoolStage1,HeatStage1,Fan,DMOffset,ThermostatTemperature,ThermostatHumidity,ThermostatMotion,Haiti,Haiti2
2016-02-22,23:00:00,heat,heatStage1On,,Home,78,73,72.9,30,29.3,7,0,45,90,,75.6,30,1,69.4,0,
2016-02-22,23:05:00,heat,heatOff,,Home,78,73,73,30,29.3,7,0,0,0,,75.2,30,1,69.4,0,
2016-02-22,23:10:00,heat,heatOff,,Home,78,73,73,30,29.3,7,0,0,0,,74.5,30,1,69.4,0,
2016-02-22,23:15:00,heat,heatOff,,Home,78,73,73.1,31,29.3,7,0,0,0,,74.1,31,0,69.2,0,
2016-02-22,23:20:00,heat,heatOff,,Home,78,73,73.4,32,29.3,7,0,0,0,,73.8,32,0,69,0,
2016-02-22,23:25:00,heat,heatOff,,Home,78.7,70.9,73.5,32,29.3,7,0,0,0,,73.5,32,0,69,0,
2016-02-22,23:30:00,heat,heatOff,,Sleep,80,67,73.3,32,29.3,7,0,0,0,,73.3,32,1,68.8,0,
2016-02-22,23:35:00,heat,heatOff,,Sleep,80,67,73.1,32,29.3,7,0,0,0,,73.1,32,0,68.8,0,
2016-02-22,23:40:00,heat,heatOff,,Sleep,80,67,72.9,32,29.3,7,0,0,0,,72.9,32,0,68.6,0,
2016-02-22,23:45:00,heat,heatOff,,Sleep,80,67,72.6,33,29.3,7,0,0,0,,72.6,33,1,68.6,0,
2016-02-22,23:50:00,heat,heatOff,,Sleep,80,67,72.4,33,29.3,7,0,0,0,,72.4,33,0,68.4,0,
2016-02-22,23:55:00,heat,heatOff,,Sleep,80,67,72.3,33,29.3,7,0,0,0,,72.3,33,0,68.3,0,
2016-02-23,00:00:00,heat,heatOff,,Sleep,80,67,72.2,33,28.7,7,0,0,0,,72.2,33,0,68.3,0,
2016-02-23,00:05:00,heat,heatOff,,Sleep,80,67,72.2,33,28.7,7,0,0,0,,72.2,33,0,68.2,0,
2016-02-23,00:10:00,heat,heatOff,,Sleep,80,67,72.1,33,28.7,7,0,0,0,,72.1,33,0,68.1,0,
2016-02-23,00:15:00,heat,heatOff,,Sleep,80,67,71.7,33,28.7,7,0,0,0,,71.9,33,0,68,0,
2016-02-23,00:20:00,heat,heatOff,,Sleep,80,67,70.9,33,28.7,7,0,0,0,,71.6,33,0,67.9,0,
2016-02-23,00:25:00,heat,heatOff,,Sleep,80,67,70.4,34,28.7,7,0,0,0,,71.4,34,0,67.8,0,
2016-02-23,00:30:00,heat,heatOff,,Sleep,80,67,70,34,29.3,10,0,0,0,,71.2,34,0,67.7,0,
2016-02-23,00:35:00,heat,heatOff,,Sleep,80,67,69.6,34,29.3,10,0,0,0,,71,34,0,67.6,0,
2016-02-23,00:40:00,heat,heatOff,,Sleep,80,67,69.3,34,29.3,10,0,0,0,,71,34,0,67.6,0,
2016-02-23,00:45:00,heat,heatOff,,Sleep,80,67,69.2,34,29.3,10,0,0,0,,70.9,34,0,67.6,0,
2016-02-23,00:50:00,heat,heatOff,,Sleep,80,67,69.2,34,29.3,10,0,0,0,,70.8,34,0,67.6,0,
2016-02-23,00:55:00,heat,heatOff,,Sleep,80,67,69.1,34,29.3,10,0,0,0,,70.7,34,0,67.5,0,
2016-02-23,01:00:00,heat,heatOff,,Sleep,80,67,69,34,29,11,0,0,0,,70.6,34,0,67.4,0,
2016-02-23,01:05:00,heat,heatOff,,Sleep,80,67,68.8,34,29,11,0,0,0,,70.4,34,0,67.3,0,
2016-02-23,01:10:00,heat,heatOff,,Sleep,80,67,68.7,34,29,11,0,0,0,,70.2,34,0,67.2,0,
2016-02-23,01:15:00,heat,heatOff,,Sleep,80,67,68.5,34,29,11,0,0,0,,70,34,0,67.1,0,
2016-02-23,01:20:00,heat,heatOff,,Sleep,80,67,68.4,34,29,11,0,0,0,,69.9,34,0,67,0,
2016-02-23,01:25:00,heat,heatOff,,Sleep,80,67,68.3,34,29,11,0,0,0,,69.9,34,0,66.9,0,
2016-02-23,01:30:00,heat,heatOff,,Sleep,80,67,68.4,34,28.7,13,0,0,0,,70,34,0,66.8,0,
2016-02-23,01:35:00,heat,heatOff,,Sleep,80,67,68.4,34,28.7,13,0,0,0,,70,34,0,66.8,0,
2016-02-23,01:40:00,heat,heatOff,,Sleep,80,67,68.4,33,28.7,13,0,0,0,,70,33,0,66.8,0,
2016-02-23,01:45:00,heat,heatOff,,Sleep,80,67,68.3,33,28.7,13,0,0,0,,69.9,33,0,66.8,0,
2016-02-23,01:50:00,heat,heatOff,,Sleep,80,67,68.1,34,28.7,13,0,0,0,,69.6,34,0,66.7,0,
2016-02-23,01:55:00,heat,heatOff,,Sleep,80,67,67.9,34,28.7,13,0,0,0,,69.3,34,0,66.5,0,
2016-02-23,02:00:00,heat,heatOff,,Sleep,80,67,67.8,34,28.2,13,0,0,0,,69.1,34,0,66.5,0,
2016-02-23,02:05:00,heat,heatOff,,Sleep,80,67,67.7,34,28.2,13,0,0,0,,69,34,0,66.5,0,
2016-02-23,02:10:00,heat,heatOff,,Sleep,80,67,67.8,34,28.2,13,0,0,0,,69.2,34,0,66.5,0,
2016-02-23,02:15:00,heat,heatOff,,Sleep,80,67,67.9,34,28.2,13,0,0,0,,69.3,34,0,66.5,0,
2016-02-23,02:20:00,heat,heatOff,,Sleep,80,67,67.8,34,28.2,13,0,0,0,,69.3,34,0,66.3,0,
2016-02-23,02:25:00,heat,heatOff,,Sleep,80,67,67.8,34,28.2,13,0,0,0,,69.3,34,0,66.3,0,
2016-02-23,02:30:00,heat,heatOff,,Sleep,80,67,67.6,34,27.2,10,0,0,0,,69.2,34,0,66.1,0,
2016-02-23,02:35:00,heat,heatOff,,Sleep,80,67,67.6,34,27.2,10,0,0,0,,69.2,34,0,66.1,0,
2016-02-23,02:40:00,heat,heatOff,,Sleep,80,67,67.5,34,27.2,10,0,0,0,,69.1,34,0,66.1,0,
2016-02-23,02:45:00,heat,heatOff,,Sleep,80,67,67.4,34,27.2,10,0,0,0,,68.8,34,0,66.1,0,
2016-02-23,02:50:00,heat,heatOff,,Sleep,80,67,67.2,34,27.2,10,0,0,0,,68.5,34,0,66.1,0,
2016-02-23,02:55:00,heat,heatOff,,Sleep,80,67,67,34,27.2,10,0,0,0,,68.2,34,0,65.9,0,
2016-02-23,03:00:00,heat,heatOff,,Sleep,80,67,66.9,34,27,10,0,0,0,,68,34,0,65.9,0,
2016-02-23,03:05:00,heat,heatOff,,Sleep,80,67,66.9,34,27,10,0,0,0,,68,34,0,65.8,0,
2016-02-23,03:10:00,heat,heatOff,,Sleep,80,67,66.9,34,27,10,0,0,0,,68.1,34,0,65.8,0,
2016-02-23,03:15:00,heat,heatOff,,Sleep,80,67,66.9,34,27,10,0,0,0,,68.1,34,0,65.8,0,
2016-02-23,03:20:00,heat,heatOff,,Sleep,80,67,66.9,34,27,10,0,0,0,,68.1,34,0,65.8,0,
2016-02-23,03:25:00,heat,heatOff,,Sleep,80,67,66.8,34,27,10,0,0,0,,68,34,0,65.6,0,
